episode,total_reward
1,-40.5
2,-59.0
3,-47.5
4,-36.0
5,-48.5
6,-50.5
7,-63.0
8,-14.5
9,-43.0
10,-117.5
11,-46.0
12,-38.5
13,-43.0
14,-21.0
15,-88.0
16,-121.0
17,-10.0
18,-30.5
19,-126.5
20,-33.0
21,-7.5
22,-61.5
23,-130.5
24,2.0
25,-50.0
26,-35.5
27,-37.5
28,-57.0
29,-83.5
30,-63.5
31,-53.0
32,-45.5
33,-57.0
34,-28.5
35,-58.5
36,-53.0
37,-84.0
38,-84.5
39,-29.0
40,-51.5
41,-58.5
42,-40.0
43,-29.0
44,-85.5
45,-58.5
46,-61.0
47,-29.0
48,-71.0
49,-40.0
50,-58.5
51,-30.0
52,-68.0
53,-6.5
54,-28.5
55,-12.5
56,-3.0
57,-59.0
58,-47.0
59,-46.5
60,-53.0
61,-4.5
62,4.5
63,-26.0
64,-10.0
65,-36.0
66,-69.5
67,-47.0
68,-27.5
69,-47.0
70,-40.0
71,-33.0
72,-24.0
73,-48.5
74,-25.0
75,-46.5
76,15.0
77,-65.5
78,-37.5
79,-43.5
80,-55.0
81,-27.5
82,-29.0
83,-28.5
84,-22.0
85,-34.0
86,-42.5
87,-33.5
88,-8.5
89,-42.5
90,-46.5
91,-20.5
92,-33.5
93,-48.5
94,-60.0
95,-19.5
96,-40.0
97,-41.5
98,-35.5
99,-11.0
100,-48.5
101,-39.5
102,-31.5
103,-35.5
104,-22.0
105,-43.5
106,-9.5
107,-45.5
108,-12.5
109,-6.5
110,-21.5
111,-50.5
112,-3.5
113,-35.0
114,4.5
115,-53.5
116,-36.0
117,-44.5
118,-53.5
119,-16.5
120,-35.0
121,-32.5
122,-31.0
123,-8.5
124,-61.0
125,2.5
126,-31.5
127,-23.0
128,21.5
129,11.0
130,-26.5
131,-33.5
132,-8.5
133,-20.0
134,-35.0
135,-21.5
136,-38.5
137,-36.0
138,-61.0
139,-36.0
140,-77.0
141,-75.5
142,-30.5
143,-133.0
144,-11.0
145,-114.5
146,0.5
147,-31.0
148,-43.5
149,-28.5
150,-59.0
151,-30.0
152,-38.0
153,-36.5
154,-57.0
155,-13.0
156,-24.5
157,-59.5
158,-69.0
159,-123.0
160,-66.5
161,-48.0
162,-63.0
163,-42.5
164,-29.5
165,-57.0
166,13.5
167,-43.0
168,-31.0
169,-17.5
170,-38.5
171,-18.5
172,-27.0
173,-47.5
174,-50.5
175,-70.5
176,-125.0
177,-90.0
178,-41.5
179,-35.0
180,-2.0
181,-16.0
182,-71.5
183,-17.5
184,2.0
185,-102.5
186,-21.5
187,15.5
188,-38.0
189,-3.5
190,-35.0
191,-36.0
192,-63.5
193,-0.5
194,-50.0
195,-37.5
196,-117.0
197,-31.0
198,-122.0
199,-12.5
200,-26.0
201,-55.5
202,2.0
203,-4.0
204,-65.5
205,-34.5
206,-41.5
207,-6.0
208,-37.5
209,9.5
210,3.5
211,-23.5
212,-8.0
213,-127.5
214,-63.5
215,-121.0
216,-20.0
217,-9.5
218,-60.0
219,-28.5
220,-122.5
221,-14.5
222,-36.0
223,-20.0
224,-79.0
225,-38.0
226,-40.0
227,-27.0
228,8.0
229,-17.0
230,-35.5
231,-20.5
232,-72.0
233,-62.0
234,-113.5
235,-32.0
236,-35.0
237,-21.5
238,-78.0
239,-31.5
240,-21.0
241,-2.0
242,-22.5
243,-43.5
244,-69.5
245,-24.5
246,-22.0
247,-36.5
248,-28.5
249,-72.5
250,33.5
251,-11.0
252,-24.5
253,28.0
254,-17.5
255,-5.5
256,-53.5
257,-41.0
258,-44.0
259,-64.0
260,-66.5
261,-5.5
262,-19.5
263,-69.5
264,33.0
265,-49.0
266,-27.5
267,-42.0
268,32.5
